"Date","Price","Open","High","Low","Vol.","Change %"
"03/06/2024","53.23","53.40","54.46","53.04","159.80K","-0.19%"
"03/05/2024","53.33","53.74","54.04","53.05","189.05K","-1.22%"
"03/04/2024","53.99","54.31","54.54","53.37","269.13K","-0.97%"
"03/01/2024","54.52","54.55","54.96","54.09","227.56K","-0.07%"
"02/29/2024","54.56","55.31","55.40","54.26","215.10K","-0.02%"
"02/28/2024","54.57","54.61","55.64","54.34","360.38K","-0.40%"
"02/27/2024","54.79","53.85","55.04","53.64","347.87K","2.78%"
"02/26/2024","53.31","53.59","54.32","53.10","157.88K","-1.15%"
"02/23/2024","53.93","52.35","54.21","52.35","216.16K","3.00%"
"02/22/2024","52.36","52.79","53.31","52.23","225.15K","-1.32%"
"02/21/2024","53.06","52.16","53.11","51.86","175.23K","1.88%"
"02/20/2024","52.08","52.47","52.74","51.95","171.72K","-1.90%"
"02/16/2024","53.09","53.49","53.58","52.92","167.46K","-1.01%"
"02/15/2024","53.63","53.29","53.96","52.85","282.02K","1.34%"
"02/14/2024","52.92","53.07","53.97","52.04","236.45K","0.80%"
"02/13/2024","52.50","53.14","53.91","52.13","345.28K","-4.00%"
"02/12/2024","54.69","53.99","55.47","53.99","324.29K","1.84%"
"02/09/2024","53.70","53.34","53.73","51.99","428.73K","0.67%"
"02/08/2024","53.34","49.17","53.36","48.00","1.01M","15.06%"
"02/07/2024","46.36","46.26","46.54","45.27","508.50K","-0.15%"
"02/06/2024","46.43","46.30","46.74","46.01","450.07K","0.22%"
