"Date","Price","Open","High","Low","Vol.","Change %"
"03/06/2024","472.75","474.46","479.80","468.24","4.98M","-0.08%"
"03/05/2024","473.15","482.39","482.90","470.61","5.15M","-1.81%"
"03/04/2024","481.87","483.24","487.04","480.10","4.99M","-1.56%"
"03/01/2024","489.53","489.42","490.02","477.25","7.32M","-0.82%"
"02/29/2024","493.60","498.50","501.75","491.60","6.62M","-0.94%"
"02/28/2024","498.28","495.44","498.55","484.39","9.54M","-2.95%"
"02/27/2024","513.42","524.76","525.59","512.05","3.75M","-2.27%"
"02/26/2024","525.32","528.32","532.81","524.31","2.28M","-0.36%"
"02/23/2024","527.24","526.75","530.49","524.16","2.50M","0.14%"
"02/22/2024","526.50","524.20","526.74","518.59","3.16M","0.87%"
"02/21/2024","521.97","523.67","523.69","517.53","2.05M","0.17%"
"02/20/2024","521.06","524.21","525.37","519.41","2.60M","-0.09%"
"02/16/2024","521.55","522.30","523.79","518.89","2.14M","0.13%"
"02/15/2024","520.88","517.34","521.75","515.80","2.29M","0.76%"
"02/14/2024","516.94","515.26","518.53","514.29","1.91M","0.02%"
"02/13/2024","516.85","522.00","526.93","514.21","3.19M","-0.15%"
"02/12/2024","517.64","518.22","518.99","512.81","3.01M","-0.11%"
"02/09/2024","518.22","518.99","520.39","516.29","2.72M","-0.36%"
"02/08/2024","520.09","520.63","522.16","517.28","3.34M","0.13%"
"02/07/2024","519.39","514.01","521.00","512.69","3.98M","1.71%"
"02/06/2024","510.67","503.94","510.94","502.45","2.75M","1.53%"
